Egység neve,Faj,Szükséges GyP,T,V,ÉP,K,TE,Zsold/kör (Arany),Képzési idő (kör),Sorozás Arany,Sorozás Mana,Sorozás Fa,Sorozás Kő,Sorozás Fém,Sorozás Gabona,Fenntartás Mana,Fenntartás Gabona,Leírás
Dárdavető,Elf,0,5,1,10,2,1.27,6,5,80,0,0,2,0,0,0,0.2,"A dárdavető az elfek különleges ostromgépre, mely tökéletes védekező fegyver is. Ez a szerkezet iszonyú erővel, embernyi méretű dárdákat vet ki magából."
Démon,Sötételf,50000,6,5,50,2,11.67,55,12,550,1,0,0,0,0,0.5,0.5,"A sötételf mágusok nem szívesen vesznek részt csatában, annál jobban féltik bőrüket. Ehelyett biztonságos távolból démonokat idéznek meg, és nagyhatalmú mágiával kötik evilághoz őket. A mágusok jól tudják nehéz ezeket a lényeket féken tartani, így hát egyből a csaták közepébe irányítják őket. A démonok pedig örömmel engednek vele született vérszomjuknak."
Éjsárkány,Sötételf,100000,10,10,100,2,39.33,200,14,2000,2,0,0,0,0,2,0,"Az éjsárkány maga a tömény iszonyat. Ha elegendő kincset ajánlanak fel neki, hajlandó kimozdulni barlangja mélyéből, és karmait, agyarait valamint dermesztő leheletét a sötételfek szolgálatába állítani. De elég egy rossz szó, s az úrból eleség lesz."
Elf íjász,Elf,0,1,3,10,2,0.87,4,4,60,0,1,0,0,0,0,0.1,"Minden elf születet céllövő. Ezért, ha azt mondom elf íjász, az csupán szóismétlés. Ám, ami az elf íjászokat igazán veszélyessé teszi az a rejtőzködő képességük. Az átlagember csak akkor veszi észre őket, ha már a mellében rezeg a vessző."
Elf mágus,Elf,25000,6,2,20,3,4.33,16,10,160,2,0,0,0,0,0.2,0.1,"Valamennyi elf képes mágiát alkalmazni. Elf mágusnak azonban csak azt nevezik, akik évszázadok óta gyakorolják e művészetet. Az elf bölcsek oly erőknek parancsolnak, melyet az emberi ész felfogni is alig képes. Egy mozdulatukkal képesek egy hadsereget eltörölni, hogy egy másikkal helyükbe zöldellő erdőt teremtsenek."
Elit,Ember,0,2,4,15,1,1.65,7,6,100,0,0,0,1,0,0,0.1,"Az elitek képzett veteránok, akik már sok csatát megjártak és túléltek. Tudják, hogy a csatában csak egymásra számíthatnak, és amíg a sorfaluk kitart, addig nem veszíthetnek."
Farkaslovas,Ork,0,3,1,10,2,0.93,4,4,60,0,0,0,0,0,0,0.1,"Az orkoknál, a lovak elsősorban a csemege pozícióját töltik be. Így hátasnak mást kell alkalmazniuk. A hegyvidék szürke farkasaival kiválóan megértik egymást. Bár néha problémát okoz, hogy a lovak harc közben étkeznek."
Földelementál,Törpe,100000,7,10,100,1,26.67,162,14,1620,0,0,0,0,0,0,1,"Amíg a sötételfek démonkat idéznek, a törpék papjai földelementálokat küldenek ellenük. Ezek a lények szinte elpusztíthatatlanok, hiszen tömör kőből vannak, s hatalmas ökleik csapása alatt tucatnyian lelhetik halálukat egyszerre."
Goblin,Ork,0,1,1,10,1,0.37,1,3,50,0,0,0,0,0,0,0.1,"A goblinok leginkább sokaságukról és gyávaságukról híresek. Ha nincsenek legalább 3szoros túlerőben, azonnal elfutnak. Mondjuk szánalmas fegyvereiket, és fapajzsukat nézve ez érthető is."
Griff,Ember,100000,8,6,75,3,27.75,127,14,1270,0,0,0,0,0,0,2,"Az emberek hamar rájöttek, milyen jó dolog az elfek légi lovassága, s le is másolták az ötletet hamarjában. Erre a célra ők griffeket használnak, ezeket a félig sas félig oroszlán lényeket. Az egyetlen probléma, hogy a griffek (talán oroszlán őseik miatt) szeretik a lóhúst, s így egy tábornoknak vigyáznia kell nehogy égi lovassága megegye a földit."
Gyalogos,Ember,0,1,1,10,1,0.4,1,3,50,0,0,0,0,0,0,0.1,"Az emberek társadalma az egyetlen, melyben  talán számuknál fogva  nem mindenki ért a harchoz. Itt a közönséges gyalogos is hosszú képzésen esik át, mielőtt csatába kerül. Persze ettől még nem lesz jobb harcos, csak fegyelmezettebb."
Halálúr,Élőholt,100000,7,9,85,2,26.63,144,14,1440,2,0,0,0,0,2,0,"A halálurak egykor nagyhatalmú mágusok voltak, de Choor szavai megfertőzték lelküket, és az örökkévalóságot választották a halál helyett, nem törődve annak árával. Mágiájukat az évszázadok alatt tovább fejlesztették, és ma már a leghatalmasabbak az egész világon."
Harcimágus,Ember,50000,7,4,35,3,10.73,47,12,470,0,0,0,0,0,0,0.1,"Az emberek mágusainak ugyan nincs annyi idejük a művészetük tökélyre fejlesztésére, mint az elfek bármely fajának, cserébe viszont rendkívüli találékonysággal bírnak. Nincs két harcimágus ugyanazzal a repertoárral, így szinte lehetetlen védekezni ellenük. Hisz tudnod kéne előre, hogy tűzgolyó, villámcsapás vagy valami egészen új ellen készülj. S ha netán el is találnád mi az, ami ellenfeled kedvence, biztos lehetsz benne tartogat még egy-két meglepetést a tarsolyában."
Harcisas,Ork,50000,8,5,45,3,15.75,64,12,640,0,0,0,0,0,0,0.5,"Harci sasokat az orkok régóta nevelnek. Ezek a madarak, gazdáik parancsára rikoltva vetik magukat a csatába, és karmaikkal, csőrükkel a legkeményebb páncélt is képesek átvágni."
Harcitomboló,Törpe,50000,7,4,55,2,12.1,66,12,660,0,0,0,2,0,0,0.1,"A harcitombolónak nincs szüksége fegyverre, ő maga a fegyver. Harcmódja, hogy rohanva beleveti magát az ellenség sűrűjébe, majd bukfenceket vetve, hadonászva a páncélját díszítő megannyi tüske és vágóél elvégezi a munkát helyette."
Harcmester,Sötételf,0,2,4,15,1,1.45,7,6,100,0,0,0,1,0,0,0.1,"Egy sötételf harcmester mindent tud a harcról és a fegyverekről, mindent, amit tudni érdemes. Más célja nincs, minthogy tökéletesítse harci képességeit, s ezt legjobban a harctéren teheti meg. Bármely fegyvert is fogja a kezében, biztos lehetsz benne, hogy tökéletesen tudja használni, úgyhogy jobb, ha más ellenfelet keresel."
Harcospap,Törpe,50000,5,7,35,1,6.53,40,12,400,0,0,0,0,0,0.5,0,"A törpék papjait akkora tisztelet övezi, mint a klánok vezetőit. Szavuk törvény, és bármely törpe szívesen hal meg papja védelmében. Pedig a papok mágiájukkal felvértezve, önmagukban is méltó ellenfelek."
Hobgoblin,Ork,0,3,4,15,1,1.6,7,6,100,0,0,0,1,0,0,0.1,"A hobgoblinok a goblinok nagytermetű testvérei, s méretükkel bátorságuk is megnőtt. Láncos buzogányaikat lóbálva rontanak a csatába, és elsöprő erejű csapásokkal teremtenek helyet maguknak."
Íjász,Ember,0,1,3,10,2,0.93,4,4,60,0,1,0,0,0,0,0.1,"Az íjászok sortüze készíti elő a csatát. Az ellenfél nehezen tartja meg a formációt, a nyílvesszők fellege sötétíti el az eget, és záporozik a halál."
Kampósrém,Sötételf,25000,5,2,25,3,4.92,23,10,230,0,0,0,0,0,0,0.2,"A kampósrémek a barlangok legveszélyesebb ragadozói. Lesben állnak a párkányokon, vagy akár mennyezeten, prédára várva, és ha egy elég közel kerül, hatalmas rákszerű kampós-ollóikkal megragadják, és szétszaggatják azt. Nem tudni a sötételfek miként irányítják őket, valószínűleg valamilyen titkos mágiával."
Katapult,Ember,0,5,1,10,2,1.33,6,5,80,0,0,2,0,0,0,0.2,"Ki ne ismerné ezeket az ostromgépeket. Bár elsősorban várfalak ledöntésére használatosak, zárt formációban haladó ellenségre is halálosak lehetnek. Ha pedig elég sokat alkalmazol, akkor nincs az az ellenfél, aki zárótüzükön keresztültörne."
Kentaur,Elf,0,3,1,10,2,0.87,4,4,60,0,0,0,0,0,0,0.1,"A kentaurok mottója ""üss előbb, üss nagyot, és te nyersz"". Ennek megfelelően ezek a félig ember ? félig ló teremtmények hatalmas bunkókat lengetve rohannak a csatába, keveset törődve pajzzsal, páncéllal."
Klánvezér,Törpe,25000,4,3,30,1,3.1,18,10,180,0,0,0,0,0,0,0.2,"A törpeklánok vezetői a legfőbb bölcsek közé tartoznak, több csatát megéltek már, mint évet, pedig az sem kevés. Ezen csaták túlélésében a törpék által készített legjobb fegyverek és páncélok segítenek."
Kobold,Sötételf,0,1,1,5,1,0.18,0,3,50,0,0,0,0,0,0.1,0,"A koboldok a sötételfek rabszolgái. Hordákban terelik maguk előtt a csatába, hogy felfogják az ellenség első csapását. Pajzs, páncél felesleges nekik, s a legprimitívebb fegyverek is megteszik, csak az számít, hogy minél többen legyenek."
Kovács,Törpe,0,2,2,15,1,0.8,5,4,60,0,0,0,0,0,0,0.1,"A törpekovácsok munkája legendás. Vértjeik, fegyvereik a legjobbak a világon. Márpedig mélyen bele kell nyúlnod a zsebedbe, mert a kovácsok nem szívesen válnak meg tőlük, és az életük árán is megvédik ezeket, ha kell. Kemény ellenfelei bárkinek."
Kőevő,Törpe,100000,10,9,80,3,37.6,192,14,1920,1,0,0,0,0,1,1,"A kőevők a föld mélyét rágják át, számukra ízletes ásványok után kutatva. A kezdeti időkben sokszor kerültek összetűzésbe a törpékkel emiatt, ám az évszázadok során a közös érdeklődésből szövetség lett. Ha harcra kerül a sor, a kőevő álkapcsai képesek bármit elroppantani, legyen az egy lovag páncélzata, vagy egy sárkány gerince."
Kővető,Ork,0,5,1,10,2,1.33,6,5,80,0,0,2,0,0,0,0.2,"Az ork kővető ugyanazt az elvet követi, mint az íjászok: Ha elég nagy a lövedék, nem fontos a pontosság. Embernyi méretű sziklákat lőnek ki vele, s ha valaki oly szerencsétlen, hogy pont ráesik, akkor a sír és a fejfa is kész."
Kristálysárkány,Isteni,0,5000,5000,5000,21,5750000,1,0,100,0,0,0,0,0,0,0,Fejlesztés alatt
Légiós,Ember,25000,3,4,40,1,4.8,19,10,190,0,0,0,2,0,0,0.2,"A légiósok a fegyelmezettség mintaképei. Zárt formációban vonulnak a csatatérre, s amíg egy is él közülük, ellenfél nem tör át rajtuk. Pajzs- és lándzsafallal veszik magukat körbe, így várják az ellenfél rohamát."
Lidérc,Élőholt,25000,5,2,15,3,3.1,15,10,150,0.5,0,0,0,0,0.2,0,"A lidércek testetlen lények akik fagyos érintésükkel kiszívják a test melegét áldozatukból. Gyűlölnek minden élőt, és csak gonoszságuk ""élteti"" őket sivár mindennapjaikban."
Lomblény,Elf,100000,7,9,100,1,25.67,120,14,1200,0,0,0,0,0,0,0,"Az entek, kiket lomblényeknek is nevezünk, óriási erejű teremtményei az erdőknek. Ezek a lények leginkább hatalmas fákra hasonlítanak, és ágaikkal, gyökereikkel iszonyú pusztítást képesek végezni a harctéren."
Lovag,Ember,50000,7,6,60,2,16,72,12,720,0,0,0,3,0,0,0.2,"A páncélozott lovagok fenséges látványt nyújtanak, amint csataménjeiken a harctérre lovagolnak. Még a föld is remeg alattuk, s kevés az ellenfél, amely nem szalad el, ha többmázsányi acélt és izmot lát maga felé vágtatni. E kevés pedig hamar a pallosok vagy a mének vasalt patái alatt végzi."
Lovas,Ember,0,3,1,10,2,0.93,4,4,60,0,0,0,0,0,0,0.1,"A lovas katona minden sereg egyik alappillére. Gyors, jól fegyverzett, könnyű páncélzatú lovasok csatákat dönthetnek el, ha a megfelelő helyen, és időben jelennek meg."
Lovasíjász,Ember,25000,4,2,20,2,2.67,12,10,120,0,2,0,0,0,0,0.2,"A könnyű páncélzatú lovasíjászok nem közelharcra valóak. Ha az ellenfél nem elég gyors, folyamatosan zaklatják, egy-egy nyílzáport eresztenek meg rájuk majd elmenekülnek, így lassan kivéreztetve az ellent."
Mesterlövész,Elf,25000,4,3,20,3,3.8,18,10,180,0,2,0,0,0,0,0.1,"Az elf mesterlövészek bármire képesek íjukkal. Egy vágtató lovag, a sisakrostély-kémlelőnyílását kilőni számukra mindennapos dolog"
Ogre,Ork,50000,7,6,50,1,9.83,45,12,450,0,0,0,0,0,0,0.5,Az ogrék az óriások kisöccsei. A megtermett embernél 2 fejjel magasabb ogrék általában emberderéknyi bunkókkal osztanak méretes ütlegeket a szemben állóknak.
Óriás,Ork,100000,8,6,100,2,28.67,130,14,1300,0,0,0,0,0,0,2,"Az óriások -mily meglepő- óriásiak. Akár 7 méter körüli magasságuk önmagában is impozáns látvány, s a félmázsás szikladarabok, amikkel dobálózni szoktak, tovább javítja az összképet. Ráadásul nehéz nekik komoly sebet okozni, lévén, ahhoz a térdükön felül kellene érni."
Óriáspók,Sötételf,25000,4,4,25,1,2.83,15,10,150,0.2,0,0,0,0,0,0.2,"A sötételfek által tenyésztett pókok legnagyobbikát a kobold rabszolgák terelik harcba. Ezek a rendkívül mérgező, majd 2 méteres pókok legalább akkora kárt okoznak hajcsáraik, mint az ellenséges katonák között, de hát erre valók a koboldok. Vagy nem?"
Óriássas,Ork,100000,10,7,75,3,34.25,165,14,1650,0,0,0,0,0,0.5,1,"Az óriássasok a hegyek legnagyobb madarai. Szívesen követik az ork hordákat, tudván, hogy a környékükön mindig akad bőséggel eleség. Az orkok pedig szívesen csatáznak, különben belőlük lesz az eleség. Egyfajta szimbiózis ez is."
Ork íjász,Ork,0,1,3,10,2,0.93,4,4,60,0,1,0,0,0,0,0.1,"Az ork íjászok nem épp célzó tehetségükről híresek, de ezt ellensúlyozzák azzal, hogy embermagas íjakat, és ujjnyi vastag nyílvesszőket használnak. Ha egy ilyen vessző eltalál, jobb, ha komoly páncél van rajtad."
Pegazus,Elf,50000,7,5,40,3,12.27,56,12,560,0,0,0,0,0,0.1,0.2,"Az elfek mágiájuk segítségével pegazusokat tenyésztettek ki közönséges lovakból. Egy szárnyas lóról sokkal jobban átlátható a hadszíntér, s a repülő lovasság azonnal ott terem, ahol a legnagyobb szükség van rájuk."
Pengemester,Elf,0,2,4,15,1,1.55,7,6,100,0,0,0,1,0,0,0.1,"Az elfek ugyan jobban szeretik az íjászatot a közelharcnál, de ez nem jelenti azt hogy ne lennének remek kardforgatók. Egy-egy pengemester évszázadok tapasztalatával bír, és minden trükköt látott már, ami a vékony pengéjű kardokkal kivitelezhető."
Póklovas,Sötételf,0,3,1,10,2,0.93,4,4,60,0,0,0,0,0,0,0.1,"A sötételfek hátasnak nem közönséges lovakat használnak, hanem speciálisan erre tenyészetett óriáspókokat. A pókok a szűkebb hasadékokba is beférnek, s akár a plafonon is képesek biztonsággal szállítani utasokat."
Romboló,Sötételf,0,5,1,10,2,1.2,6,5,80,0,0,0,2,0,0,0.2,"A rombolókat elsősorban a járatok fúrására használják, de kiválóan alkalmasak az ellenséges csapatok szétzilálására is. Szemből a fém fúrófej megvédi a kezelőket, a probléma ott kezdődik, ha áttört az ellenségen, de közben életben hagyott ellenfeleket."
Sikító szellem,Élőholt,50000,7,4,35,3,9.57,58,12,580,0.2,0,0,0,0,0.2,0,"E rém hangja maga a halál. Sikításának hallatán az ember legborzasztóbb rémálmai kelnek életre, és míg az ember dermedten áll, a rém közben elpusztítja. A legnagyobb szerencse, hogy a sikítószellemek nem szeretik a tömeget, magányos ellenfelekre vadásznak, így amíg társaid közelében állsz esélyed van a túlélésre."
Sötételf íjász,Sötételf,0,1,3,10,2,0.87,4,4,60,0,1,0,0,0,0,0.1,"A sötételfek - akárcsak felszíni rokonaik - az íjászatban jeleskednek leginkább. A legfőbb különbség, hogy jobban kedvelik a szűk helyeket és használható számszeríjakat, valamint, hogy az erdő helyett a barlangok mélyén érzik jól magukat."
Számszeríjász,Törpe,0,1,3,10,2,0.87,4,4,60,0,1,0,0,0,0,0.1,"Bár a törpék többre tartják a közelharcot az íjászatnál, kényszerűségből mégis alkalmaznak számszeríjászokat, ha nagyon muszáj. Ám ezek a harcosok is inkább harcolnak kalapáccsal vagy bárdokkal, mint íjjal, ha tehetik."
Szellemsárkány,Élőholt,100000,8,10,110,1,30.43,168,14,1680,1,0,0,0,0,2,0,"A legnagyobb halálurak képesek sárkányokból is élőholtakat csinálni. Ezek a szellemsárkányok talán nem olyan kecsesek mint életükben, cserébe azonban sokkal kitartóbbak és nehezebben pusztíthatóak el. Hogy a sárkányok önként válallják-e a rituálét, vagy valamilyen gonosz mágiával veszik őket rá, azt homály fedi."
Tárnametsző,Törpe,0,5,1,10,2,1.13,6,5,80,0,0,0,2,0,0,0.2,"A tárnametszők hatalmas fúrófejek, melyeket a törpék barlangjaik kivájására használnak. Csatában azonban a fúrófejek helyére speciális vágólapokat szerelnek, melyek hatalmas pusztítást végezek az ellenfél soraiban."
Temetőrém,Élőholt,25000,4,3,25,2,3.17,17,10,170,0.5,0,0,0,0,0,0,"A temetőrémek dögön élnek. Élő húst nem esznek, felfogásuk szerint minél régebbi egy tetem annál ízletesebb. Általában a temetőkből ássák ki a hullákat (innen ered a nevük), de jobb híján a csatában elesett friss hullákból is szívesen fogyasztanak, ha már állt egy-két napot."
Törpeharcos,Törpe,0,2,4,15,2,1.8,9,6,100,0,0,0,1,0,0,0.1,"Az igazi törpeharcos olyan páncélt visel, melyet közönséges fegyver át sem visz. A mondás szerint, ha két ilyen harcol egymással szemben, akár órákig is csépelhetnék egymást anélkül, hogy komolyabb sérülést okoznának egymásnak."
Troll,Ork,25000,6,4,25,1,3.33,16,10,160,0,0,0,0,0,0,0.3,"A trollokat egyetlen dolog érdekli: a hasuk. Mivel elveik szerint, ami mozog ehető, a csatákat svédasztalnak tekintik. Kiválasztják a legjobbnak tűnő falatokat, és éles karmaikkal darabokra tépik azt."
Tündérke,Elf,0,1,1,5,1,0.2,0,3,50,1,0,0,0,0,0.1,0,"A sprite-ok, vagy ahogy a köznyelv mondja tündérkék apró szárnyas lények, melyeket a legtöbb halandó nem tart veszélyesnek. Ez igaz is, ha eggyel találkozol, de ha sok-sok tündérke íja szegeződik rád, jobban teszed, ha kereket oldasz, különben tűpárnaként végzed."
Tűzmadár,Elf,100000,9,8,80,3,35.73,172,14,1720,0,0,0,0,0,2,0,"A tűzmadarak nem e világ szülöttei, de az elfek bölcsei ismerik a szót, ami megnyitja számukra a kaput, hogy azon keresztül világukba lépjenek. Ezek a lények leginkább hatalmas sasmadárra emlékeztetnek, ám ha úgy akarják, tűzaura veszi körül testüket, mely rajtuk kívül mindenkit elemészt."
Vámpír,Élőholt,50000,6,7,50,2,12.33,65,12,650,0.5,0,0,0,0,0.5,0,"A vámpírok a legendák szörnyei. Élő emberek vérével táplálkoznak, és pusztán tekintetükkel képesek uralmuk alá vonni a gyenge akaratúakat. Kegyetlenek, pusztán a gyilkolás öröméért is elpusztítanak bárkit, aki az útjukba kerül."
Vérfarkas,Ork,25000,4,5,30,2,5.4,24,10,240,0,0,0,0,0,0.2,0.1,"A vérfarkasok olyan lények, melyek képesek emberi alakjukon kívül, farkas formát is felvenni. Farkas formában agyaraikkal és karmaikkal tépik szét áldozatukat, és ráadásul olyan gyorsan gyógyulnak, hogy a kisebb sebeket észre sem veszik."
Zombi,Élőholt,0,2,2,10,1,0.5,3,4,60,0,0,0,0,0,0,0,"A zombik a jobb állapotú testekből készülnek. Ezek a förtelmek már fegyvert is kapnak, igaz a legegyszerűbbeket, de látványuk az ami a legnagyobb pusztítást okozza. Hisz ki ne bátortalanodna el, ha egykori bajtársa jönne szembe vele ilyen formában? Ha a látvány nem dermeszt meg és mégis a közeledbe kerül egy, a hullaszag biztosan végez veled."
